symbol,half_spread,impact_$100K,total_$100K,depth_buy_$100K,impact_$375K,total_$375K,depth_buy_$375K,impact_$1M,total_$1M,depth_buy_$1M,impact_$5M,total_$5M,depth_buy_$5M,ac_impact_375K,vol_annual,adtv_weekly
0G,8.185315543913317e-05,0.0019922698825659965,0.0019922698825659965,42418.7514,0.0019922698825659965,0.0019922698825659965,42418.7514,0.0019922698825659965,0.0019922698825659965,42418.7514,0.0019922698825659965,0.0019922698825659965,42418.7514,0.017755632870293764,1.0323895580374938,8804073.6902
1000SATS,0.004566210045662057,0.011367826291380794,0.011367826291380794,240069.87940399998,0.03000492303388666,0.03000492303388666,445983.7274756999,0.06868407114521345,0.06868407114521345,676275.0548975,0.06868407114521345,0.06868407114521345,676275.0548975,0.01571959199535976,0.6541931405692898,4510225.0059759
1INCH,0.0005194805194805343,0.006231967812250159,0.006231967812250159,134890.55180000002,0.010614276311690039,0.010614276311690039,164777.99280000004,0.010614276311690039,0.010614276311690039,164777.99280000004,0.010614276311690039,0.010614276311690039,164777.99280000004,0.01335821177202625,0.5518324922070331,4444129.0747
1MBABYDOGE,0.00012848515996395762,0.0028081125393913083,0.0028081125393913083,44076.487097799996,0.0028081125393913083,0.0028081125393913083,44076.487097799996,0.0028081125393913083,0.0028081125393913083,44076.487097799996,0.0028081125393913083,0.0028081125393913083,44076.487097799996,0.02,0.6576979921456545,1839748.1035951
2Z,6.643194047704778e-05,0.0017869919122147362,0.0017869919122147362,32132.64918,0.0017869919122147362,0.0017869919122147362,32132.64918,0.0017869919122147362,0.0017869919122147362,32132.64918,0.0017869919122147362,0.0017869919122147362,32132.64918,0.02,0.7269626503924286,2094094.77076
4,0.0002967535165291587,0.001816595460897473,0.001816595460897473,2289.303192,0.001816595460897473,0.001816595460897473,2289.303192,0.001816595460897473,0.001816595460897473,2289.303192,0.001816595460897473,0.001816595460897473,2289.303192,0.02,1.3159254002702823,6312098.98812
A,6.237914041542089e-05,0.0016119482767563663,0.0016119482767563663,7509.70476,0.0016119482767563663,0.0016119482767563663,7509.70476,0.0016119482767563663,0.0016119482767563663,7509.70476,0.0016119482767563663,0.0016119482767563663,7509.70476,0.02,0.7874986670379802,1765946.5826
AAVE,4.3811610076630474e-05,0.0009161901531637777,0.0009161901531637777,79768.193,0.0009527381306883786,0.0009527381306883786,79768.193,0.0009527381306883786,0.0009527381306883786,79768.193,0.0009527381306883786,0.0009527381306883786,79768.193,0.004273617418518912,0.7206033183504227,74040613.636
ACE,0.0003449465332873025,0.00720299666690047,0.00720299666690047,44147.907138,0.00720299666690047,0.00720299666690047,44147.907138,0.00720299666690047,0.00720299666690047,44147.907138,0.00720299666690047,0.00720299666690047,44147.907138,0.010118140292866264,0.44970315714126646,5144216.701686
ACH,0.0001430819859779223,0.0017452533039157446,0.0017452533039157446,13666.357793,0.0017452533039157446,0.0017452533039157446,13666.357793,0.0017452533039157446,0.0017452533039157446,13666.357793,0.0017452533039157446,0.0017452533039157446,13666.357793,0.02,0.8807745626941497,2110461.398348
ACT,0.00037050759540569074,0.0071596537093877284,0.0071596537093877284,63714.18071,0.0071596537093877284,0.0071596537093877284,63714.18071,0.0071596537093877284,0.0071596537093877284,63714.18071,0.0071596537093877284,0.0071596537093877284,63714.18071,0.02,0.879560578734432,2076469.39949
ACX,0.00014520110352833052,0.003451076477417314,0.003451076477417314,14695.806196000001,0.003451076477417314,0.003451076477417314,14695.806196000001,0.003451076477417314,0.003451076477417314,14695.806196000001,0.003451076477417314,0.003451076477417314,14695.806196000001,0.02,0.4387291815246787,549575.513493
