date,regime,long_tokens,short_tokens,long_opens,long_closes,short_opens,short_closes
2021-06-06,Sideways,"BAND,COTI,ETC,NEO,RLC,SNX,SUSHI,XTZ","ALGO,CRV,HBAR,KAVA,RSR,STORJ","COTI,SUSHI,XTZ",,"CRV,KAVA",YFI
2021-07-04,Sideways,"ENJ,KNC,NEO,QTUM,RLC,SUSHI","ALGO,AVAX,BAND,CRV,FIL,HBAR,KAVA,STORJ","ENJ,KNC,QTUM","BAND,COTI,ETC,SNX,XTZ","AVAX,BAND,FIL",RSR
2021-08-01,Sideways,"BAT,ENJ,NEO,QTUM,RLC,SUSHI,TRX","ALGO,AVAX,BAND,CRV,FIL,HBAR,KAVA,NEAR","BAT,TRX",KNC,NEAR,STORJ
2021-10-03,Bull,"BAT,IOTX,KSM,NEO,RLC,SUSHI,THETA,TRX","CRV,FIL,GRT,HBAR,KAVA,SKL","IOTX,SUSHI,THETA","ENJ,IOST,QTUM","CRV,FIL,GRT,HBAR,KAVA,SKL",
2021-11-07,Bull,"AR,GRT,IOTX,KSM,NEO,RLC,SUSHI,TRX,VET","COTI,FIL,HBAR,KAVA,NEAR,SKL","AR,GRT,VET","BAT,THETA","COTI,NEAR","CRV,GRT"
2021-12-05,Sideways,"AR,AXS,GRT,IOTX,KSM,NEO,RLC,SUSHI,VET","1INCH,CELO,FIL,HBAR,KAVA,NEAR,OGN,SKL",AXS,TRX,"1INCH,CELO,OGN",COTI
2022-01-02,Sideways,"AR,AXS,KSM,NEO,RLC,SUSHI,THETA,VET","1INCH,CELO,FIL,HBAR,KAVA,OGN,ROSE,SKL",THETA,"GRT,IOTX",ROSE,NEAR
2022-02-06,Bear,"AR,IOTX,KNC,KSM,LPT,NEO,SUSHI,THETA,VET,YFI","1INCH,ALICE,CELO,FIL,HBAR,KAVA,NEAR,ROSE,SKL","IOTX,KNC,LPT,YFI","AXS,RLC","ALICE,NEAR",OGN
2022-03-06,Bear,"AR,GALA,IOTX,KNC,KSM,LPT,NEO,SUSHI,THETA,VET,XLM","CELO,COTI,FIL,FLOW,HBAR,KAVA,NEAR,SAND,SKL","GALA,XLM",YFI,"COTI,FLOW,SAND","1INCH,ALICE,ROSE"
2022-05-01,Sideways,"CHR,DENT,GALA,IOTX,KNC,KSM,LPT,SNX,SUSHI,THETA,XLM","FIL,FLOW,HBAR,ICX,KAVA,SAND,SKL,WOO","CHR,GALA","AR,NEO,VET","ICX,KAVA,SKL,WOO",
