date,regime,long_basket,short_basket,long_gross,short_gross,combined_net,fund_long,fund_short
2022-01-02,Sideways,AR|BAT|KSM|NEO|RLC|SUSHI|THETA|VET,CELO|COTI|FIL|HBAR|KAVA|NEAR|OGN,0.0,0.0,0.0,0.0,0.0
2022-02-06,Bear,AR|BAT|IOTX|KNC|KSM|LPT|NEO|SUSHI|THETA|VET,1INCH|ALGO|CELO|FIL|GRT|HBAR|KAVA|NEAR|ROSE|SKL,-0.2309791570282925,-0.2443000036180137,-0.0046358148538370725,0.002194465,-0.003257125
2022-03-06,Bear,AR|IOTX|KNC|KSM|LPT|NEO|SNX|SUSHI|THETA|VET,1INCH|ALGO|CELO|FIL|FLOW|GRT|HBAR|KAVA|NEAR|ROSE|SKL,0.562340413557805,0.4,0.06948421764363222,-0.006705492000000001,0.0049515618181818185
2022-05-01,Bear,AR|IOTX|KNC|KSM|LPT|NEO|SNX|SUSHI|THETA|VET,1INCH|ALGO|FIL|FLOW|HBAR|KAVA|ROSE|SKL|WOO,-0.4482855578489132,-0.4550221756698129,-0.005556164285225318,0.012198641999999999,-0.015158306666666666
2022-06-05,Bear,AR|DENT|KNC|KSM|NEO|SNX|SUSHI|THETA|VET,1INCH|FIL|FLOW|GRT|HBAR|KAVA|ROSE|SKL|WOO,-0.2104884251019682,-0.2869109649740163,0.03033771051318268,0.006805283333333334,-0.0061116588888888886
2022-07-03,Bear,AR|GALA|IOTX|KNC|KSM|NEO|ONT|SNX|SUSHI|THETA,1INCH|FIL|FLOW|GRT|KAVA|ROSE|SKL|WOO,0.3486440184752471,0.4,-0.03476341022320425,-0.0023475530000000005,0.0019854900000000008
2022-09-04,Bear,AR|DENT|GALA|IOTX|KSM|NEO|ONT|SUSHI|THETA|YFI,1INCH|FIL|FLOW|GRT|INJ|KAVA|ROSE|RSR|SAND|SNX,-0.1335054653925152,-0.09193949516519508,-0.03547987480521539,-0.0021532410000000006,-0.005004015
2022-10-02,Bear,AR|DENT|GALA|IOTX|KSM|NEO|ONT|SUSHI|THETA|YFI|ZRX,1INCH|FIL|FLOW|GRT|INJ|KAVA|ROSE|SAND|SNX,0.1341952195347488,0.12615350528695832,0.12174804215293623,-0.0012758418181818185,-0.004728778888888888
2022-11-06,Bull,AR|BAT|GALA|IOTX|KNC|KSM|NEO|QNT|SUSHI|THETA|YFI,1INCH|AXS|FIL|FLOW|KAVA|ROSE|RSR|SAND|SNX,-0.23291843910269364,-0.29837116871760966,0.021294084877482838,-0.004050143636363637,-0.00495150111111111
2022-12-04,Bear,AR|BAT|DYDX|GALA|IOTX|KNC|KSM|NEO|QNT|SUSHI|THETA|YFI,1INCH|AXS|FIL|FLOW|INJ|KAVA|ROSE|RSR|SAND|SNX,-0.24845992114610146,-0.2735596979832488,-0.001978148715835737,-0.0009052966666666667,-0.005917188
